ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
131255,Delhi,New Delhi,Locality_387,Villa,1,4963,178.33,0.04,2011,Furnished,17,26,14,7,4,Low,No,No,"Clubhouse, Pool, Garden",East,Owner,Ready_to_Move
247191,Assam,Silchar,Locality_343,Independent House,4,800,142.29,0.18,2004,Furnished,27,3,21,9,8,Low,No,Yes,Garden,East,Builder,Under_Construction
147711,Tamil Nadu,Chennai,Locality_216,Independent House,2,1623,463.31,0.29,1997,Semi-furnished,25,25,28,6,2,Medium,No,Yes,"Playground, Clubhouse, Pool, Gym",West,Broker,Ready_to_Move
63176,Tamil Nadu,Chennai,Locality_493,Apartment,2,3264,44.63,0.01,1990,Unfurnished,13,7,35,7,5,Medium,No,No,"Garden, Clubhouse",West,Builder,Under_Construction
151374,Telangana,Hyderabad,Locality_16,Independent House,1,2395,377.65,0.16,2020,Unfurnished,13,5,5,1,5,Medium,No,No,"Garden, Gym",North,Broker,Ready_to_Move
116075,Gujarat,Ahmedabad,Locality_308,Independent House,5,507,68.32,0.13,2013,Semi-furnished,15,18,12,3,8,Medium,Yes,No,"Garden, Playground, Gym, Pool",East,Broker,Ready_to_Move
83785,Rajasthan,Jodhpur,Locality_432,Villa,5,2510,128.48,0.05,2005,Unfurnished,22,11,20,1,10,High,No,No,"Garden, Gym, Pool, Clubhouse",West,Owner,Ready_to_Move
119576,Bihar,Gaya,Locality_461,Independent House,1,3542,428.03,0.12,2010,Semi-furnished,13,21,15,10,7,High,Yes,Yes,Playground,West,Owner,Ready_to_Move
57736,Odisha,Cuttack,Locality_305,Independent House,3,2683,303.59,0.11,2012,Semi-furnished,6,26,13,2,3,Low,Yes,Yes,"Gym, Playground",West,Owner,Under_Construction
101648,Uttar Pradesh,Lucknow,Locality_1,Independent House,2,3228,422.11,0.13,2003,Semi-furnished,13,1,22,1,9,High,Yes,Yes,"Garden, Pool, Gym, Clubhouse",West,Broker,Under_Construction
26069,Chhattisgarh,Raipur,Locality_80,Villa,3,4233,278.5,0.07,2013,Semi-furnished,5,18,12,5,9,High,No,No,"Gym, Pool",East,Owner,Under_Construction
203404,Odisha,Bhubaneswar,Locality_311,Apartment,4,4125,233.34,0.06,2021,Unfurnished,25,24,4,4,2,High,No,Yes,"Pool, Gym, Garden, Playground",North,Builder,Under_Construction
47098,Tamil Nadu,Chennai,Locality_27,Villa,5,2589,415.55,0.16,2001,Semi-furnished,20,6,24,1,8,High,No,No,"Pool, Garden, Playground, Clubhouse, Gym",North,Broker,Under_Construction
204131,Tamil Nadu,Chennai,Locality_179,Independent House,4,3772,459.64,0.12,2023,Semi-furnished,15,19,2,9,6,Medium,No,Yes,"Garden, Gym, Pool",South,Builder,Ready_to_Move
136821,Maharashtra,Mumbai,Locality_122,Apartment,2,2158,323.83,0.15,2023,Unfurnished,8,1,2,4,4,High,No,No,"Pool, Clubhouse",West,Builder,Under_Construction
169159,Odisha,Cuttack,Locality_46,Villa,4,2297,93.66,0.04,2020,Furnished,0,21,5,1,5,Low,Yes,No,"Pool, Playground, Garden",South,Builder,Under_Construction
60132,Andhra Pradesh,Vishakhapatnam,Locality_100,Apartment,3,3157,438.63,0.14,1996,Unfurnished,13,15,29,8,3,Medium,No,Yes,Garden,East,Builder,Under_Construction
133637,Tamil Nadu,Coimbatore,Locality_336,Villa,3,3757,211.39,0.06,2010,Furnished,25,16,15,5,6,Low,Yes,Yes,Garden,South,Builder,Ready_to_Move
174411,Haryana,Faridabad,Locality_152,Independent House,5,4923,88.09,0.02,2019,Furnished,23,24,6,3,4,High,Yes,No,"Gym, Playground",West,Builder,Under_Construction
247468,Odisha,Cuttack,Locality_4,Apartment,5,3681,493.72,0.13,1993,Semi-furnished,8,25,32,6,7,High,Yes,Yes,Gym,South,Builder,Ready_to_Move
33258,Punjab,Ludhiana,Locality_147,Independent House,5,1873,418.21,0.22,1997,Semi-furnished,11,18,28,5,6,Low,Yes,No,"Gym, Playground, Clubhouse, Pool, Garden",East,Owner,Under_Construction
112440,Madhya Pradesh,Indore,Locality_196,Apartment,4,2336,74.35,0.03,2005,Furnished,27,8,20,7,4,Medium,Yes,Yes,"Playground, Pool, Clubhouse",South,Builder,Under_Construction
194367,West Bengal,Durgapur,Locality_179,Independent House,1,1865,220.82,0.12,1991,Unfurnished,22,19,34,8,9,Medium,No,No,"Playground, Gym",North,Broker,Under_Construction
202492,Odisha,Cuttack,Locality_119,Apartment,4,2348,358.61,0.15,2004,Semi-furnished,11,10,21,8,4,Low,No,No,"Pool, Clubhouse",North,Broker,Ready_to_Move
128788,Madhya Pradesh,Bhopal,Locality_428,Villa,4,3765,488.12,0.13,2019,Furnished,9,5,6,2,10,Medium,Yes,Yes,Pool,South,Owner,Ready_to_Move
12028,Telangana,Warangal,Locality_38,Independent House,3,2969,476.63,0.16,2005,Semi-furnished,22,10,20,4,1,Medium,No,No,"Playground, Garden, Pool, Clubhouse, Gym",North,Builder,Ready_to_Move
80585,Tamil Nadu,Coimbatore,Locality_189,Apartment,4,1524,118.4,0.08,2017,Semi-furnished,7,13,8,4,7,Medium,Yes,No,"Clubhouse, Garden, Pool",North,Builder,Under_Construction
93358,Telangana,Hyderabad,Locality_35,Independent House,3,1689,42.77,0.03,2014,Semi-furnished,6,13,11,6,5,Low,Yes,No,"Garden, Playground, Clubhouse, Pool, Gym",North,Broker,Ready_to_Move
85914,Andhra Pradesh,Vijayawada,Locality_396,Independent House,3,4239,85.82,0.02,2009,Furnished,7,18,16,3,10,Medium,Yes,No,"Garden, Playground",South,Owner,Ready_to_Move
121070,Telangana,Hyderabad,Locality_15,Apartment,2,2802,371.01,0.13,2022,Unfurnished,19,19,3,6,5,High,Yes,No,"Clubhouse, Gym",North,Owner,Ready_to_Move
153714,Assam,Guwahati,Locality_450,Villa,2,1998,110.14,0.06,2016,Furnished,0,10,9,7,1,Low,Yes,Yes,Garden,West,Builder,Ready_to_Move
244051,Odisha,Bhubaneswar,Locality_453,Independent House,3,3016,268.52,0.09,1993,Semi-furnished,28,24,32,3,7,Medium,Yes,No,"Clubhouse, Gym",South,Broker,Ready_to_Move
168237,Uttar Pradesh,Noida,Locality_60,Apartment,5,1789,95.2,0.05,1994,Unfurnished,18,19,31,1,4,Low,No,Yes,"Pool, Garden, Gym, Playground, Clubhouse",South,Owner,Ready_to_Move
108513,Kerala,Kochi,Locality_405,Apartment,2,4906,420.89,0.09,2013,Unfurnished,27,7,12,6,7,Medium,Yes,Yes,"Garden, Clubhouse, Pool, Playground, Gym",South,Owner,Ready_to_Move
69738,West Bengal,Kolkata,Locality_480,Independent House,5,2456,60.66,0.02,2001,Unfurnished,17,14,24,4,8,Medium,No,Yes,"Playground, Clubhouse, Pool, Gym",South,Broker,Under_Construction
45656,Delhi,New Delhi,Locality_264,Villa,1,570,461.62,0.81,2008,Unfurnished,5,10,17,6,5,High,No,No,Playground,East,Builder,Ready_to_Move
1411,Haryana,Faridabad,Locality_32,Independent House,3,2425,239.56,0.1,1998,Semi-furnished,30,30,27,1,5,High,Yes,No,Clubhouse,West,Builder,Under_Construction
177120,Jharkhand,Ranchi,Locality_137,Villa,4,3007,420.38,0.14,2005,Furnished,20,28,20,9,4,High,No,Yes,"Garden, Playground, Pool",East,Broker,Ready_to_Move
670,Maharashtra,Mumbai,Locality_462,Apartment,2,1020,253.97,0.25,2019,Furnished,2,30,6,10,2,Low,Yes,No,"Playground, Gym, Garden, Clubhouse, Pool",South,Owner,Under_Construction
95530,Bihar,Patna,Locality_208,Independent House,2,991,240.98,0.24,2007,Furnished,18,9,18,7,3,Low,Yes,Yes,"Playground, Pool, Garden, Gym",South,Builder,Ready_to_Move
193143,Uttar Pradesh,Noida,Locality_427,Independent House,2,3831,34.61,0.01,2014,Unfurnished,20,7,11,3,6,Medium,Yes,Yes,"Clubhouse, Pool",East,Broker,Under_Construction
205285,Rajasthan,Jaipur,Locality_36,Apartment,5,1287,225.15,0.17,1994,Semi-furnished,22,3,31,4,5,High,No,No,"Gym, Garden, Clubhouse",South,Broker,Ready_to_Move
133796,Gujarat,Ahmedabad,Locality_333,Apartment,3,4107,105.46,0.03,2018,Furnished,17,4,7,2,3,Low,No,Yes,"Pool, Clubhouse, Garden",West,Builder,Under_Construction
228336,Rajasthan,Jaipur,Locality_485,Independent House,4,4622,380.5,0.08,1995,Unfurnished,4,25,30,1,1,Medium,Yes,No,Clubhouse,West,Owner,Ready_to_Move
62191,Andhra Pradesh,Vishakhapatnam,Locality_296,Independent House,3,2954,117.62,0.04,2014,Unfurnished,18,8,11,4,6,Low,Yes,No,"Clubhouse, Garden, Playground, Pool",East,Broker,Under_Construction
236788,Uttarakhand,Dehradun,Locality_497,Apartment,1,3484,148.12,0.04,2003,Unfurnished,19,4,22,5,4,Medium,Yes,No,"Pool, Gym, Playground, Garden",North,Builder,Ready_to_Move
96536,Uttarakhand,Haridwar,Locality_378,Villa,4,2056,277.22,0.13,1996,Furnished,23,24,29,3,7,Low,Yes,No,Playground,South,Owner,Under_Construction
33364,Rajasthan,Jaipur,Locality_381,Apartment,1,2885,23.53,0.01,2011,Furnished,13,17,14,5,3,Low,No,Yes,"Clubhouse, Pool",North,Owner,Under_Construction
109582,Haryana,Gurgaon,Locality_209,Apartment,4,762,111.98,0.15,2005,Furnished,24,23,20,1,5,High,Yes,No,"Gym, Pool, Garden, Playground, Clubhouse",South,Broker,Ready_to_Move
45002,Assam,Guwahati,Locality_103,Villa,1,974,480.61,0.49,2009,Semi-furnished,7,26,16,5,1,High,Yes,Yes,"Gym, Garden, Clubhouse, Pool",North,Broker,Under_Construction
200706,Delhi,New Delhi,Locality_265,Independent House,2,3573,11.85,0.0,2007,Semi-furnished,21,21,18,6,4,Medium,No,No,"Garden, Clubhouse, Pool",East,Broker,Ready_to_Move
79268,Uttarakhand,Dehradun,Locality_321,Independent House,2,1862,291.78,0.16,2012,Furnished,7,28,13,5,9,High,No,No,"Pool, Playground",East,Owner,Under_Construction
235885,Delhi,New Delhi,Locality_170,Independent House,4,2299,47.38,0.02,2010,Semi-furnished,20,14,15,9,9,Medium,Yes,No,"Pool, Garden",South,Builder,Ready_to_Move
146269,Gujarat,Ahmedabad,Locality_249,Villa,1,504,132.24,0.26,1995,Unfurnished,6,26,30,7,7,Low,No,Yes,"Pool, Clubhouse, Playground, Garden",North,Builder,Ready_to_Move
36852,Madhya Pradesh,Bhopal,Locality_310,Apartment,2,2617,466.98,0.18,1997,Furnished,30,10,28,6,7,High,Yes,Yes,"Playground, Clubhouse, Pool, Garden",North,Builder,Under_Construction
236146,Uttar Pradesh,Noida,Locality_37,Independent House,2,2670,422.94,0.16,2000,Furnished,13,8,25,8,7,High,Yes,No,"Garden, Gym",South,Broker,Ready_to_Move
3261,Rajasthan,Jodhpur,Locality_7,Apartment,1,3852,171.94,0.04,1994,Semi-furnished,24,8,31,3,9,Medium,Yes,Yes,Clubhouse,North,Builder,Under_Construction
240440,Andhra Pradesh,Vijayawada,Locality_297,Apartment,3,2389,405.27,0.17,2000,Semi-furnished,9,2,25,8,10,Medium,Yes,Yes,Garden,East,Broker,Ready_to_Move
60974,Haryana,Faridabad,Locality_251,Independent House,5,2452,340.63,0.14,2010,Furnished,6,4,15,10,2,High,No,Yes,Garden,South,Broker,Under_Construction
246293,Haryana,Gurgaon,Locality_205,Independent House,5,2026,248.49,0.12,2014,Furnished,24,17,11,5,10,Low,Yes,No,"Gym, Garden, Playground, Pool, Clubhouse",West,Broker,Under_Construction
108675,Delhi,New Delhi,Locality_130,Independent House,3,3897,455.2,0.12,2008,Furnished,9,22,17,6,7,High,Yes,Yes,"Gym, Garden, Pool, Clubhouse, Playground",East,Builder,Ready_to_Move
213381,Bihar,Gaya,Locality_80,Independent House,1,3786,128.38,0.03,2012,Unfurnished,7,5,13,9,10,Low,Yes,Yes,"Clubhouse, Playground, Garden, Pool, Gym",North,Owner,Under_Construction
21136,Haryana,Gurgaon,Locality_413,Apartment,1,4085,325.32,0.08,2018,Unfurnished,1,3,7,8,3,Medium,No,Yes,"Playground, Pool, Garden, Gym, Clubhouse",South,Owner,Under_Construction
143473,Delhi,New Delhi,Locality_43,Independent House,1,3006,172.0,0.06,2016,Unfurnished,12,7,9,2,8,High,No,Yes,"Gym, Clubhouse, Playground",South,Owner,Under_Construction
35502,Punjab,Amritsar,Locality_28,Villa,2,1612,148.9,0.09,1996,Unfurnished,11,28,29,7,1,Low,No,Yes,"Gym, Clubhouse, Playground",East,Owner,Ready_to_Move
37533,Telangana,Warangal,Locality_423,Villa,4,4669,80.0,0.02,1999,Unfurnished,28,29,26,3,7,Medium,Yes,No,"Playground, Garden, Pool, Gym",East,Builder,Ready_to_Move
33964,Delhi,Dwarka,Locality_391,Apartment,5,2605,441.34,0.17,2015,Unfurnished,18,30,10,10,3,High,Yes,Yes,"Pool, Clubhouse, Playground",South,Broker,Under_Construction
87414,Andhra Pradesh,Vijayawada,Locality_254,Apartment,1,4617,463.12,0.1,2001,Semi-furnished,2,29,24,1,4,High,No,No,"Gym, Playground",South,Builder,Ready_to_Move
10748,Haryana,Faridabad,Locality_138,Villa,4,4346,366.86,0.08,2022,Furnished,25,10,3,1,6,Low,No,Yes,"Clubhouse, Garden, Playground, Gym",North,Builder,Ready_to_Move
3028,Haryana,Gurgaon,Locality_39,Independent House,2,761,33.13,0.04,1991,Unfurnished,19,23,34,3,10,High,Yes,No,"Playground, Gym",North,Owner,Ready_to_Move
106101,Chhattisgarh,Bilaspur,Locality_192,Independent House,5,3445,242.52,0.07,2004,Unfurnished,0,6,21,3,1,Low,Yes,Yes,"Garden, Clubhouse",East,Builder,Under_Construction
184150,Haryana,Gurgaon,Locality_248,Independent House,5,766,199.89,0.26,2005,Unfurnished,8,25,20,4,10,Medium,Yes,Yes,"Playground, Pool, Garden, Clubhouse, Gym",East,Builder,Under_Construction
232061,Madhya Pradesh,Bhopal,Locality_70,Villa,2,3114,116.89,0.04,1990,Semi-furnished,6,19,35,4,4,High,No,No,"Pool, Clubhouse",South,Owner,Ready_to_Move
226403,Chhattisgarh,Raipur,Locality_105,Independent House,5,767,286.33,0.37,2021,Semi-furnished,19,20,4,2,8,Medium,No,Yes,"Pool, Garden, Clubhouse",South,Builder,Under_Construction
150976,Haryana,Faridabad,Locality_352,Independent House,2,1584,181.2,0.11,2014,Unfurnished,14,15,11,2,1,High,Yes,Yes,"Playground, Clubhouse, Garden, Gym, Pool",North,Owner,Ready_to_Move
54205,Maharashtra,Pune,Locality_17,Independent House,3,3616,427.05,0.12,2022,Unfurnished,22,15,3,1,6,Low,Yes,Yes,Clubhouse,South,Builder,Ready_to_Move
152723,Gujarat,Surat,Locality_117,Villa,5,1310,59.29,0.05,1991,Semi-furnished,26,5,34,2,1,Low,No,Yes,"Garden, Clubhouse, Gym, Pool, Playground",East,Builder,Under_Construction
92129,Bihar,Gaya,Locality_242,Villa,2,3049,296.4,0.1,2001,Unfurnished,23,7,24,6,3,High,Yes,No,"Playground, Pool, Garden",South,Broker,Ready_to_Move
200217,Madhya Pradesh,Indore,Locality_218,Independent House,3,4721,39.77,0.01,2020,Furnished,10,5,5,5,2,Medium,No,No,"Gym, Clubhouse, Playground",North,Broker,Under_Construction
71009,Assam,Guwahati,Locality_158,Independent House,2,3021,270.69,0.09,2005,Semi-furnished,10,14,20,8,6,High,Yes,Yes,"Clubhouse, Playground, Gym, Pool",East,Owner,Ready_to_Move
191311,Chhattisgarh,Bilaspur,Locality_133,Villa,5,3674,57.45,0.02,2002,Unfurnished,7,7,23,8,6,High,Yes,No,"Gym, Garden, Pool, Playground",East,Broker,Ready_to_Move
103276,Jharkhand,Jamshedpur,Locality_363,Villa,2,1963,349.87,0.18,2006,Unfurnished,11,7,19,10,6,Medium,Yes,No,Gym,South,Owner,Ready_to_Move
112020,Rajasthan,Jaipur,Locality_391,Independent House,5,1584,480.13,0.3,2006,Unfurnished,6,28,19,9,9,Low,No,Yes,"Pool, Garden, Clubhouse, Playground, Gym",North,Builder,Ready_to_Move
61269,Telangana,Hyderabad,Locality_456,Villa,5,5000,457.02,0.09,2017,Unfurnished,5,20,8,4,9,Medium,Yes,Yes,"Garden, Clubhouse, Gym, Pool",North,Builder,Ready_to_Move
146186,Assam,Guwahati,Locality_115,Independent House,3,4223,55.7,0.01,2021,Unfurnished,29,29,4,4,1,Low,No,Yes,"Clubhouse, Playground",East,Owner,Ready_to_Move
140335,West Bengal,Durgapur,Locality_198,Independent House,2,4006,311.78,0.08,2002,Semi-furnished,22,30,23,8,7,Low,Yes,No,"Pool, Gym, Playground, Clubhouse, Garden",South,Owner,Under_Construction
